Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-10T15:23:45.703Z","","","free","composer-2.5-fast","No","0","32173","1123","1025","34321","0.11"
"2026-06-10T15:21:34.991Z","","","free","composer-2.5-fast","No","0","1170","65792","795","67757","0.05"
"2026-06-10T15:20:23.941Z","","","free","composer-2.5-fast","No","0","206","32544","456","33206","0.02"
"2026-06-10T15:18:44.091Z","","","free","composer-2.5-fast","No","0","1450","63456","213","65119","0.04"
"2026-06-10T15:17:28.724Z","","","free","composer-2.5-fast","No","0","700","63104","333","64137","0.04"
"2026-06-10T15:15:46.559Z","","","free","composer-2.5-fast","No","0","56981","5568","473","63022","0.18"
"2026-06-10T15:08:17.664Z","","","free","composer-2.5-fast","No","0","2438","28320","366","31124","0.03"
"2026-06-10T15:04:40.761Z","","","free","composer-2.5-fast","No","0","539","59776","767","61082","0.04"
"2026-06-10T15:00:31.754Z","","","free","composer-2.5-fast","No","0","39304","139232","2453","180989","0.22"
"2026-06-09T17:35:58.832Z","","","free","composer-2.5-fast","No","0","272","16320","403","16995","0.02"
"2026-06-09T17:34:34.883Z","","","free","composer-2.5-fast","No","0","150","15904","508","16562","0.02"
"2026-06-09T17:34:11.116Z","","","free","composer-2.5-fast","No","0","15799","32","210","16041","0.05"
"2026-06-09T17:30:55.616Z","","","free","composer-2.5-fast","No","0","14430","1088","290","15808","0.05"
"2026-06-09T17:27:36.785Z","","","free","composer-2.5-fast","No","0","164","32352","132","32648","0.02"
"2026-06-09T17:27:22.184Z","","","free","composer-2.5-fast","No","0","15438","16384","389","32211","0.06"
"2026-06-09T17:26:12.981Z","","","free","composer-2.5-fast","No","0","16387","15168","86","31641","0.06"
"2026-06-09T17:20:37.389Z","","","free","composer-2.5-fast","No","0","6754","24416","153","31323","0.03"
